"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","Year First Published","Crystal Systems","Space Groups","Oldest Known Age (Ma)","IMA Mineral Symbol","Paragenetic Modes"
"Abellaite","Abellaite","NaPb2+2(CO3)2(OH)","NaPb2(CO3)2(OH)","NaPb^2+^_2_(CO_3_)_2_(OH)","NaPb_2_(CO_3_)_2_(OH)","Na Pb C O H","2014","hexagonal","P31c|P6_3mc","370","Abe","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Abelsonite","Abelsonite","Ni2+C31H32N4","NiC31H32N4","Ni^2+^C_31_H_32_N_4_","NiC_31_H_32_N_4_","Ni C H N","1975","triclinic","P-1","56","Abl","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Na26Ce3+6(SiO3)6(PO4)6(CO3)6(S4+O2)O","Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O","Na_26_Ce^3+^_6_(SiO_3_)_6_(PO_4_)_6_(CO_3_)_6_(S^4+^O_2_)O","Na_26_Ce_6_(Si_6_O_18_)(PO_4_)_6_(CO_3_)_6_(SO_2_)O","Na Ce Si O P C S","1991","hexagonal","R-3","124","Abk-Ce","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Abernathyite","Abernathyite","K(U6+O2)As5+O4·3H2O","K(UO2)(AsO4)·3H2O","K(U^6+^O_2_)As^5+^O_4_·3H_2_O","K(UO_2_)(AsO_4_)·3H_2_O","K U O As H","1956","tetragonal","P4/nmm|P4/ncc","358.9","Abn","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Abhurite","Abhurite","Sn2+21O6(OH)14Cl16","Sn2+21O6(OH)14Cl16","Sn^2+^_21_O_6_(OH)_14_Cl_16_","Sn^2+^_21_O_6_(OH)_14_Cl_16_","Sn O H Cl","1983","hexagonal","R32","0","Abh","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes"
"Abramovite","Abramovite","Pb2+2Sn4+In3+Bi3+S2-7","Pb2SnInBiS7","Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_","Pb_2_SnInBiS_7_","Pb Sn In Bi S","2006","triclinic","P1","0.04","Abm","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals"
"Abswurmbachite","Abswurmbachite","Cu2+Mn3+6O8(SiO4)","Cu2+Mn3+6O8(SiO4)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu Mn O Si","1990","tetragonal","I4_1/acd","541","Abs","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Abuite","Abuite","CaAl2(PO4)2F2","CaAl2(PO4)2F2","CaAl_2_(PO_4_)_2_F_2_","CaAl_2_(PO_4_)_2_F_2_","Ca Al P O F","2014","orthorhombic","P2_12_12_1","","Abu","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
"Acanthite","Acanthite","Ag1+2S2-","Ag2S","Ag^1+^_2_S^2-^","Ag_2_S","Ag S","1855","monoclinic","P2_1/n","4000","Aca","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
"Acetamide","Acetamide","CH3CONH2","CH3CONH2","CH_3_CONH_2_","CH_3_CONH_2_","C H O N","1974","hexagonal","R3c","0","Ace","Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Achalaite","Achalaite","Fe2+Ti4+Nb5+2O8","Fe2+TiNb2O8","Fe^2+^Ti^4+^Nb^5+^_2_O_8_","Fe^2+^TiNb_2_O_8_","Fe Ti Nb O","2013","monoclinic","C2/c","","Ahl","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Achávalite","Achavalite","FeSe","FeSe","FeSe","FeSe","Fe Se","1939","hexagonal","P6_3mc|P6_3/mmc","","Ahv","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Achyrophanite","Achyrophanite","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(As5+O4)5","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(AsO_4_)_5_","K Na Fe Ti Al Mg O As","2018","orthorhombic","P222_1","3.6E-5","Aph","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Acmonidesite","Acmonidesite","(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","(N^3-^H_4_,K,Pb^2+^,Na)_9_Fe^2+^_4_(S^6+^O_4_)_5_Cl_8_","(NH_4_,K,Pb,Na)_9_Fe^2+^_4_(SO_4_)_5_Cl_8_","N H K Pb Na Fe S O Cl","2013","orthorhombic","C222_1","","Acm","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Actinolite","Actinolite","Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","Ca Mg Fe Si O H","1794","monoclinic","C2/m","4000","Act","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism"
"Acuminite","Acuminite","SrAlF4(OH)·H2O","SrAlF4(OH)·H2O","SrAlF_4_(OH)·H_2_O","SrAlF_4_(OH)·H_2_O","Sr Al F O H","1986","monoclinic","C2/c","1275","Acu","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
"Adachiite","Adachiite","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)","Ca Fe Al Si O B H","2012","hexagonal|unknown","R3m","","Adc","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Adamite","Adamite","Zn2+2As5+O4(OH)","Zn2(AsO4)(OH)","Zn^2+^_2_As^5+^O_4_(OH)","Zn_2_(AsO_4_)(OH)","Zn As O H","1866","orthorhombic","Pnnm","2700","Ad","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Adamsite-(Y)","Adamsite-(Y)","NaY(CO3)2·6H2O","NaY(CO3)2·6H2O","NaY(CO_3_)_2_·6H_2_O","NaY(CO_3_)_2_·6H_2_O","Na Y C O H","1999","triclinic","P1|P-1","1742","Ads-Y","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Adanite","Adanite","Pb2+2(Te4+O3)(S6+O4)","Pb2(Te4+O3)(SO4)","Pb^2+^_2_(Te^4+^O_3_)(S^6+^O_4_)","Pb_2_(Te^4+^O_3_)(SO_4_)","Pb Te O S","2019","monoclinic","P2_1/n","","Adn","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Addibischoffite","Addibischoffite","Ca2Al6Al6O20","Ca2Al6Al6O20","Ca_2_Al_6_Al_6_O_20_","Ca_2_Al_6_Al_6_O_20_","Ca Al O","2015","triclinic","P-1","","Add","Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates"
"Adelite","Adelite","CaMgAs5+O4(OH)","CaMg(AsO4)(OH)","CaMgAs^5+^O_4_(OH)","CaMg(AsO_4_)(OH)","Ca Mg As O H","1891","orthorhombic","P2_12_12_1","1890","Ade","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Admontite","Admontite","MgB6O10·7H2O","MgB6O10·7H2O","MgB_6_O_10_·7H_2_O","MgB_6_O_10_·7H_2_O","Mg B O H","1978","monoclinic","P2_1/c","","Amt","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
"Adolfpateraite","Adolfpateraite","K(U6+O2)(S6+O4)(OH)(H2O)","K(UO2)(SO4)(OH)(H2O)","K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O)","K(UO_2_)(SO_4_)(OH)(H_2_O)","K U O S H","2011","monoclinic","P2_1/c","0","Adp","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
